Web Search interest: meningitis
Denmark 2010-2014

Interest over time
Week,meningitis
2011-12-11 - 2011-12-17,27
2011-12-18 - 2011-12-24,26
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,22
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,29
2012-01-22 - 2012-01-28,24
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,23
2012-02-12 - 2012-02-18,24
2012-02-19 - 2012-02-25,26
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,25
2012-03-11 - 2012-03-17,26
2012-03-18 - 2012-03-24,22
2012-03-25 - 2012-03-31,28
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,26
2012-04-15 - 2012-04-21,24
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,24
2012-05-06 - 2012-05-12,24
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,26
2012-06-03 - 2012-06-09,22
2012-06-10 - 2012-06-16,25
2012-06-17 - 2012-06-23,23
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,38
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,31
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,32
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,23
2012-08-26 - 2012-09-01,22
2012-09-02 - 2012-09-08,28
2012-09-09 - 2012-09-15,20
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,21
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,26
2012-10-14 - 2012-10-20,30
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,28
2012-11-04 - 2012-11-10,26
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,25
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,24
2013-02-03 - 2013-02-09,27
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,24
2013-03-24 - 2013-03-30,29
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,17
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,21
2013-05-19 - 2013-05-25,22
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,18
2013-06-16 - 2013-06-22,17
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,18
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,23
2013-07-21 - 2013-07-27,62
2013-07-28 - 2013-08-03,100
2013-08-04 - 2013-08-10,23
2013-08-11 - 2013-08-17,31
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,32
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,17
2013-10-06 - 2013-10-12,27
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,23
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,26
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,22
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,19
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,23
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,29
2014-03-02 - 2014-03-08,30
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,28
2014-03-23 - 2014-03-29,25
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,20
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,25
2014-05-25 - 2014-05-31,22
2014-06-01 - 2014-06-07,25
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,18
2014-06-29 - 2014-07-05,18
2014-07-06 - 2014-07-12,22
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,27
2014-08-31 - 2014-09-06,25
2014-09-07 - 2014-09-13,20
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,20
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,16
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,31
2014-12-28 - 2015-01-03,25


Top subregions for meningitis
Subregion,meningitis
Central Denmark Region,100
Capital Region of Denmark,98
Syddanmark,98
North Denmark Region,91
Region Zealand,89


Top cities for meningitis
City,meningitis
Frederiksberg,100
Samsø,97
Aarhus,94
Kolding,91
Odense,90
Aalborg,89
Copenhagen,81



Top searches for meningitis
meningitis symptomer,100
meningitis børn,40
symptomer på meningitis,20



Rising searches for meningitis
meningitis børn,Breakout
symptomer på meningitis,Breakout
meningitis symptomer,+130%



