Web Search interest: vaccine
Denmark 2010-2014

Interest over time
Week,vaccine
2011-06-05 - 2011-06-11,20
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,20
2011-06-26 - 2011-07-02,18
2011-07-03 - 2011-07-09,15
2011-07-10 - 2011-07-16,14
2011-07-17 - 2011-07-23,17
2011-07-24 - 2011-07-30,13
2011-07-31 - 2011-08-06,13
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,21
2011-08-21 - 2011-08-27,15
2011-08-28 - 2011-09-03,20
2011-09-04 - 2011-09-10,18
2011-09-11 - 2011-09-17,16
2011-09-18 - 2011-09-24,15
2011-09-25 - 2011-10-01,18
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,18
2011-10-16 - 2011-10-22,18
2011-10-23 - 2011-10-29,24
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,22
2011-11-13 - 2011-11-19,17
2011-11-20 - 2011-11-26,16
2011-11-27 - 2011-12-03,16
2011-12-04 - 2011-12-10,12
2011-12-11 - 2011-12-17,15
2011-12-18 - 2011-12-24,15
2011-12-25 - 2011-12-31,17
2012-01-01 - 2012-01-07,24
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,20
2012-01-22 - 2012-01-28,23
2012-01-29 - 2012-02-04,18
2012-02-05 - 2012-02-11,19
2012-02-12 - 2012-02-18,21
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,18
2012-03-04 - 2012-03-10,18
2012-03-11 - 2012-03-17,18
2012-03-18 - 2012-03-24,16
2012-03-25 - 2012-03-31,15
2012-04-01 - 2012-04-07,12
2012-04-08 - 2012-04-14,18
2012-04-15 - 2012-04-21,16
2012-04-22 - 2012-04-28,18
2012-04-29 - 2012-05-05,15
2012-05-06 - 2012-05-12,18
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,19
2012-05-27 - 2012-06-02,16
2012-06-03 - 2012-06-09,19
2012-06-10 - 2012-06-16,19
2012-06-17 - 2012-06-23,18
2012-06-24 - 2012-06-30,18
2012-07-01 - 2012-07-07,30
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,17
2012-07-29 - 2012-08-04,23
2012-08-05 - 2012-08-11,24
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,24
2012-08-26 - 2012-09-01,68
2012-09-02 - 2012-09-08,63
2012-09-09 - 2012-09-15,56
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,38
2012-09-30 - 2012-10-06,32
2012-10-07 - 2012-10-13,33
2012-10-14 - 2012-10-20,37
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,30
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,28
2012-12-02 - 2012-12-08,24
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,100
2012-12-30 - 2013-01-05,81
2013-01-06 - 2013-01-12,55
2013-01-13 - 2013-01-19,50
2013-01-20 - 2013-01-26,48
2013-01-27 - 2013-02-02,32
2013-02-03 - 2013-02-09,34
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,27
2013-03-03 - 2013-03-09,31
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,25
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,29
2013-04-14 - 2013-04-20,31
2013-04-21 - 2013-04-27,30
2013-04-28 - 2013-05-04,26
2013-05-05 - 2013-05-11,28
2013-05-12 - 2013-05-18,27
2013-05-19 - 2013-05-25,25
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,30
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,36
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,65
2013-08-04 - 2013-08-10,38
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,25
2013-08-25 - 2013-08-31,41
2013-09-01 - 2013-09-07,47
2013-09-08 - 2013-09-14,33
2013-09-15 - 2013-09-21,29
2013-09-22 - 2013-09-28,27
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,33
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,25
2013-11-03 - 2013-11-09,22
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,21
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,20
2013-12-08 - 2013-12-14,22
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,15
2014-01-05 - 2014-01-11,26
2014-01-12 - 2014-01-18,23
2014-01-19 - 2014-01-25,20
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,17
2014-02-16 - 2014-02-22,23
2014-02-23 - 2014-03-01,21
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,18
2014-03-16 - 2014-03-22,21
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,16
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,22
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,20
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,23
2014-06-08 - 2014-06-14,22
2014-06-15 - 2014-06-21,18
2014-06-22 - 2014-06-28,19
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,18
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,17
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,20
2014-08-24 - 2014-08-30,24
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,19
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,24
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,28
2014-10-12 - 2014-10-18,30
2014-10-19 - 2014-10-25,34
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,24
2014-11-09 - 2014-11-15,26
2014-11-16 - 2014-11-22,21
2014-11-23 - 2014-11-29,23
2014-11-30 - 2014-12-06,17
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,15


Top subregions for vaccine
Subregion,vaccine
Capital Region of Denmark,100
Central Denmark Region,85
Syddanmark,76
Region Zealand,75
North Denmark Region,72


Top cities for vaccine
City,vaccine
Hasselager,100
Frederiksberg,91
Herlev,84
Samsø,69
Aarhus,68
Hvidovre,68
Hillerod,65
Copenhagen,63
Lyngby,62
Roskilde County,62
Esbjerg,61
Svendborg,58
Fredericia,57
Naestved,56
Kolding,56



Top searches for vaccine
vaccine hpv,100
hpv,100
vaccine livmoderhalskræft,35
livmoderhalskræft,30
hepatitis,25
hepatitis vaccine,25
influenza,20
influenza vaccine,20
vaccination,20
mfr,20
mfr vaccine,20
bivirkninger hpv vaccine,10
hepatitis a,10
hepatitis a vaccine,10
pris hpv vaccine,10
vaccine mod livmoderhalskræft,10
hepatitis b vaccine,10
hepatitis b,10
vaccine børn,5
hpv vaccine mænd,5
vaccinationer,5
rabies,5
rabies vaccine,5
gul feber vaccine,5
vaccine thailand,5
vacciner,5
mfr vaccine bivirkninger,5
gul feber,5
hunde vaccine,5
polio vaccine,5
polio,5
livmoderhalskræft vaccine pris,5
vaccine skoldkopper,5
livmoderhalskræft vaccine bivirkninger,5
skoldkopper,5
malaria vaccine,5
malaria,5
gardasil vaccine,5
tbe,5
tbe vaccine,5
vaccine århus,5
gardasil,5
havrix,5
stivkrampe,0
hpv vaccination,0



Rising searches for vaccine
bivirkninger hpv vaccine,Breakout
pris hpv vaccine,Breakout
hpv,+700%
vaccine hpv,+700%
hepatitis a,+250%
hepatitis a vaccine,+190%
hepatitis b vaccine,+160%
hepatitis b,+140%
hepatitis,+120%
hepatitis vaccine,+90%



